track,artist
Mama's Boy,Dominic Fike
Mosquito,PinkPantheress
Got Me Started,Troye Sivan
Water,Tyla
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow"
Gun,Doja Cat
Sweet Relief,Madison Beer
older,Isabel LaRosa
Other Boys,"Marshmello, Dove Cameron"
greedy,Tate McRae
all-american bitch,Olivia Rodrigo
this is what autumn feels like,JVKE
Strangers,Kenya Grace
Lose Control,Teddy Swims
Magical,Ed Sheeran
Dead Man,David Kushner
Boys Of Faith (feat. Bon Iver),"Zach Bryan, Bon Iver"
making the bed,Olivia Rodrigo
cross my heart,Artemas
Snooze (Acoustic) (feat. Justin Bieber),"SZA, Justin Bieber"
Agora Hills,Doja Cat
AMERICAN HORROR SHOW,SNOW WIFE
ETA,NewJeans
Lovesick,Laufey
My Love Mine All Mine,Mitski
Black Friday,Tom Odell
HONEY (ARE U COMING?),Måneskin
With You,Oliver Tree
Love U Like That,Lauv
Back for More (with Anitta),"TOMORROW X TOGETHER, Anitta"
Either Way,IVE
Yes I'm A Mess,AJR
Desire (with Sam Smith),"Calvin Harris, Sam Smith"
Mirage - for Assassin's Creed Mirage,"OneRepublic, Assassin's Creed, Mishaal Tamer"
PUPPET SHOW,XG
Crush,"Bella Poarch, Lauv"
On My Love,"Zara Larsson, David Guetta"
Single Soon,Selena Gomez
this time,Jeremy Zucker
Gimme Love,Sia
adore u,"Fred again.., Obongjayar"
Summertime Friends,The Chainsmokers
Doesn’t Do Me Any Good,Stephen Sanchez
Out Of My League,LANY
Used To Be Young,Miley Cyrus
Vertigo,Griff
Lil Boo Thang,Paul Russell
Paint The Town Red,Doja Cat
girls like me don't cry,thuy
Winner,Conan Gray
Your Bones,Chelsea Cutler
Call Your Mom (with Lizzy McAlpine),"Noah Kahan, Lizzy McAlpine"
Something Real,Post Malone
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK
Last Time I Saw You,Nicki Minaj
Pretty Girls,Reneé Rapp
Satellite,Harry Styles
Feather,Sabrina Carpenter
i wish you cheated,Alexander Stewart
the way things go,beabadoobee
Heartbroken (feat. Jessie Murph & Polo G),"Diplo, Jessie Murph, Polo G"
Spinnin,Madison Beer
Treat Me Like A Ho,Kim Petras
Slow Dancing,V
Once More,d4vd
bad idea right?,Olivia Rodrigo
Lipstick,Charlie Puth
BOTH,"Tiësto, 21 Savage, BIA"
One in a Million,"Bebe Rexha, David Guetta"
Love Like This,ZAYN
On My Mama,Victoria Monét
STRINGS (feat. JVKE & Bazzi),"MAX, JVKE, Bazzi"
That Part,Lauren Spencer Smith
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
2 die 4 (feat. Charli XCX),"Addison Rae, Charli XCX"
Padam Padam,Kylie Minogue
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift
Meltdown,Niall Horan
Speed Drive (From Barbie The Album),Charli XCX
Never Felt So Alone,Labrinth
HAPPY,NF
Hero,"Alan Walker, Sasha Alex Sloan"
A Year Ago,James Arthur
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna"
Better Things,aespa
